Populations	Individual	Elevation	Bio7	Bio8	annualPET	PETColdestQuarter	PETDriestQuarter
LA1963	LA1963_t1	200	16.1999998092651	15.1666665077209	1405.52990722656	82.4058380126953	144.420944213867
LA1963	LA1963_t3	200	16.1999998092651	15.1666665077209	1405.52990722656	82.4058380126953	144.420944213867
LA1963	LA1963_t5	200	16.1999998092651	15.1666665077209	1405.52990722656	82.4058380126953	144.420944213867
LA1963	LA1963_t7	200	16.1999998092651	15.1666665077209	1405.52990722656	82.4058380126953	144.420944213867
LA1963	LA1963_t9	200	16.1999998092651	15.1666665077209	1405.52990722656	82.4058380126953	144.420944213867
LA2931	LA2931_t2	2275	21.599999666214	15.1833333969116	1441.55969238281	82.7934188842773	138.536773681641
LA2931	LA2931_t3	2275	21.599999666214	15.1833333969116	1441.55969238281	82.7934188842773	138.536773681641
LA2931	LA2931_t4	2275	21.599999666214	15.1833333969116	1441.55969238281	82.7934188842773	138.536773681641
LA2931	LA2931_t5	2275	21.599999666214	15.1833333969116	1441.55969238281	82.7934188842773	138.536773681641
LA2931	LA2931_t6	2275	21.599999666214	15.1833333969116	1441.55969238281	82.7934188842773	138.536773681641
LA2932	LA2932_1	350	22.2999997138977	17.5666666030884	1381.48571777344	78.3969268798828	136.119201660156
LA2932	LA2932_8	350	22.2999997138977	17.5666666030884	1381.48571777344	78.3969268798828	136.119201660156
LA2932	LA2932_12	350	22.2999997138977	17.5666666030884	1381.48571777344	78.3969268798828	136.119201660156
LA2932	LA2932_20	350	22.2999997138977	17.5666666030884	1381.48571777344	78.3969268798828	136.119201660156
LA2932	LA2932_22	350	22.2999997138977	17.5666666030884	1381.48571777344	78.3969268798828	136.119201660156
LA3111	LA3111_t3	3070	18.9000008106232	12.9166667461395	1184.69079589844	75.0960540771484	72.7028579711914
LA3111	LA3111_t5	3070	18.9000008106232	12.9166667461395	1184.69079589844	75.0960540771484	72.7028579711914
LA3111	LA3111_t9	3070	18.9000008106232	12.9166667461395	1184.69079589844	75.0960540771484	72.7028579711914
LA3111	LA3111_t10	3070	18.9000008106232	12.9166667461395	1184.69079589844	75.0960540771484	72.7028579711914
LA3111	LA3111_t15	3070	18.9000008106232	12.9166667461395	1184.69079589844	75.0960540771484	72.7028579711914
LA4107	LA4107_3	86	16.6000003814697	14.0333331425985	1350.05261230469	65.0588226318359	150.025466918945
LA4107	LA4107_6	86	16.6000003814697	14.0333331425985	1350.05261230469	65.0588226318359	150.025466918945
LA4107	LA4107_9	86	16.6000003814697	14.0333331425985	1350.05261230469	65.0588226318359	150.025466918945
LA4107	LA4107_t5	86	16.6000003814697	14.0333331425985	1350.05261230469	65.0588226318359	150.025466918945
LA4107	LA4107_t11	86	16.6000003814697	14.0333331425985	1350.05261230469	65.0588226318359	150.025466918945
LA4117A	LA4117A_1	3540	24.8	11.98333	1409.151	74.78127	88.63052
LA4117A	LA4117A_4	3540	24.8	11.98333	1409.151	74.78127	88.63052
LA4117A	LA4117A_5	3540	24.8	11.98333	1409.151	74.78127	88.63052
LA4117A	LA4117A_10	3540	24.8	11.98333	1409.151	74.78127	88.63052
LA4117A	LA4117A_15	3540	24.8	11.98333	1409.151	74.78127	88.63052
LA4330	LA4330_1	3126	25.9999992847443	13.4666663010915	1415.73107910156	77.3598937988281	133.694351196289
LA4330	LA4330_t4	3126	25.9999992847443	13.4666663010915	1415.73107910156	77.3598937988281	133.694351196289
LA4330	LA4330_t6	3126	25.9999992847443	13.4666663010915	1415.73107910156	77.3598937988281	133.694351196289
LA4330	LA4330_t9	3126	25.9999992847443	13.4666663010915	1415.73107910156	77.3598937988281	133.694351196289
LA4330	LA4330_t12	3126	25.9999992847443	13.4666663010915	1415.73107910156	77.3598937988281	133.694351196289

